# athena_event_details,athena id,external id,datetime,time error,time rms,latitude,longitude,ellipse major,ellipse minor,magnitude,magnitude type,depth (km),depth error,num. stations,num. phases,azimuth gap,analysis type,place,major place,athena database id,error ellipse max axis length (km),error ellipse max axis azimuth (deg),error ellipse max axis dip (deg),error ellipse intermediate axis length (km),error ellipse intermediate axis azimuth (deg),error ellipse intermediate axis dip (deg),error ellipse min axis length (km),error ellipse min axis azimuth (deg),error ellipse min axis dip (deg),seismic moment (N.m),corner frequency (Hz),stress drop (MPa),source radius (km),moment tensor np1 dip,moment tensor np1 strike,moment tensor np1 rake,tags,updated at,moment tensor np2 dip,moment tensor np2 strike,moment tensor np2 rake,event source type,reference elevation (km),horizontal error (km)
athena_event_details,20230206-14,,2023-02-06T13:39:25Z,,0.0,37.6,36.96,,,5.0,mb,10.00,0,0,0,0.0,m,,386.0 km NE of Ammochostos,74806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T13:26:40.723Z,,,,Nanometrics,0.0,
athena_event_details,20230206-7,,2023-02-06T02:23:14Z,,0.0,37.1806,36.9758,,,5.2,mb,10.00,0,0,0,0.0,m,,356.0 km NE of Ammochostos,74800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T10:50:49.873Z,,,,Nanometrics,0.0,
athena_event_details,20230206-8,,2023-02-06T01:28:19Z,,0.0,37.13,36.81,,,6.7,Mw,40.00,0,0,0,0.0,m,,341.0 km NE of Ammochostos,74801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T13:22:30.313Z,,,,Nanometrics,0.0,
athena_event_details,20230129-4,,2023-01-29T16:12:38Z,,0.55,35.779833333333336,35.72083333333333,,,4.3,Ml,9.89,31.78,30,22,330.0,m,,177.0 km NE of Ammochostos,74635,40.8,64.0,51.0,4.62,157.0,2.0,1.84,249.0,39.0,,,,,,,,"",2023-01-30T07:19:40.578Z,,,,Nanometrics,0.114,
athena_event_details,20230124-3,,2023-01-24T05:59:31Z,,0.45,35.54366666666667,31.272666666666666,,,4.0,Ml,13.27,1.00,28,35,182.0,m,Mediterranean Sea,120.0 km NW of Polis,74589,1.99,16.0,5.0,1.19,115.0,56.0,0.88,283.0,33.0,,,,,,,,"",2023-01-24T07:18:22.100Z,,,,Nanometrics,0.672,
athena_event_details,20230112-6,,2023-01-12T20:40:51Z,,0.51,35.455333333333336,36.42933333333333,,,4.1,Ml,16.00,31.69,27,27,331.0,m,,227.0 km E of Paralimni,74543,40.73,72.0,51.0,4.78,168.0,5.0,1.65,262.0,39.0,,,,,,,,"",2023-01-13T06:47:08.602Z,,,,Nanometrics,0.114,
athena_event_details,20221102-4,,2022-11-02T17:41:21Z,,0.75,35.921,30.844666666666665,,,5.0,Ml,13.08,3.90,29,33,149.0,m,Mediterranean Sea,174.0 km NW of Polis,74089,4.58,6.0,58.0,2.57,207.0,29.0,1.27,112.0,10.0,,,,,,,,felt,2022-11-03T06:45:08.795Z,,,,Nanometrics,0.42,
athena_event_details,20220830-7,,2022-08-30T20:42:31Z,,0.32,35.17016666666667,31.969833333333334,,,4.0,Ml,26.72,0.43,27,39,249.0,m,FELT EARTHQUAKE; Mediterranean Sea,45.0 km W of Polis,73758,1.23,160.0,5.0,0.78,68.0,17.0,0.46,266.0,72.0,,,,,,,,felt,2022-09-01T12:51:22.456Z,,,,Nanometrics,0.111,
athena_event_details,20220807-3,,2022-08-07T08:02:02Z,,0.66,36.0765,29.688666666666666,,,4.1,Ml,35.02,46.48,16,20,136.0,m,,274.0 km NW of Polis,73655,46.56,2.0,86.0,2.11,190.0,3.0,0.99,100.0,1.0,,,,,,,,"",2022-08-08T06:18:24.979Z,,,,Nanometrics,0.5,
athena_event_details,20220803-3,,2022-08-03T10:05:30Z,,0.61,36.042833333333334,30.938666666666666,,,4.2,Ml,35.90,41.43,15,22,159.0,m,Mediterranean Sea,176.0 km NW of Polis,73639,41.43,307.0,89.0,2.45,44.0,0.0,1.11,134.0,1.0,,,,,,,,"",2022-08-03T11:53:45.216Z,,,,Nanometrics,0.787,
